Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9618768328445748,0.3,0.13636363636363635,0.1875,0.8694214876033057
Random Forest,0.9699413489736071,0.6363636363636364,0.1590909090909091,0.2545454545454545,0.9418302341597795
XGBoost,0.9699413489736071,0.5714285714285714,0.2727272727272727,0.36923076923076925,0.940771349862259
